probe,level,gain_probe,episodes,completion_rate,failure_adjusted_error_m,mean_distance_m,steer_total_variation_per_s,wheel_saturation_fraction
delay,0.0,low,6,1.0,0.0015093934269764199,0.003261500613012692,0.10490547522223959,0.0027906351943002908
delay,0.0,nominal,6,1.0,0.0013931881167720025,0.0030140311632787173,0.1301830440626543,0.0027913219019867603
delay,0.0,high,6,1.0,0.001260919850935574,0.0027320147803787283,0.1923086522668793,0.0027921609245214977
delay,0.02,low,6,1.0,0.0015096038301579701,0.0032611616626737464,0.10723972373108363,0.0027899184698451005
delay,0.02,nominal,6,1.0,0.0013932466827197027,0.0030134891962982995,0.13553336360859672,0.0027906914759513435
delay,0.02,high,6,1.0,0.0012607289967126927,0.0027310369893916637,0.2153383952241865,0.002791565921599803
delay,0.04,low,6,1.0,0.0015104494114367435,0.0032593300954176434,0.11994896134902648,0.0039474217712029015
delay,0.04,nominal,6,1.0,0.0013944620277421018,0.0030126638870971215,0.19468230686051488,0.003948514658046486
delay,0.04,high,6,1.0,0.002092166810182121,0.004424993584329168,11.058739287559588,0.33553109257606223
delay,0.06,low,6,1.0,0.0015465251281986199,0.003330708776261906,0.5343258796787799,0.006058854838206922
delay,0.06,nominal,6,1.0,0.0030047588869701013,0.006365809382642601,7.884537710325212,0.3971336232170284
delay,0.06,high,6,1.0,0.003707929393197055,0.007665200329160803,10.143826354564974,0.656538258252831
delay,0.08,low,6,1.0,0.004659802982365461,0.009740110082437966,6.651895079703086,0.4776052921837281
delay,0.08,nominal,6,1.0,0.005713203089851772,0.011625921895528817,7.610592535238285,0.6345876183989303
delay,0.08,high,6,1.0,0.008542703617903895,0.016343075292540945,6.836581597271786,0.7978203113750931
delay,0.1,low,6,1.0,0.009137084924753213,0.017867354025143275,5.926202321044864,0.6639175861218956
delay,0.1,nominal,6,1.0,0.011930556822323725,0.022365615417934862,5.5795358587696064,0.7634781022430944
delay,0.1,high,6,1.0,0.0194755432653083,0.03262760959649808,4.791298952093562,0.8745314629366651
