probe,level,gain_probe,episodes,completion_rate,failure_adjusted_error_m,mean_distance_m,steer_total_variation_per_s,wheel_saturation_fraction
filter,0.0,low,6,1.0,0.0018722701586346626,0.0035668370941265796,454.60295199812407,0.6643185686851887
filter,0.0,nominal,6,1.0,0.0021826310970820603,0.0037083272721971576,510.84780056471544,0.8078678657231975
filter,0.0,high,6,1.0,0.003625211281506452,0.004596280996756429,575.2485271499039,0.926520722828624
filter,0.01,low,6,1.0,0.0015104170581516294,0.0032621368120222794,57.02175012391418,0.0033734371592135377
filter,0.01,nominal,6,1.0,0.0013941722052624216,0.003014458105418619,71.92870064010063,0.0038447209369118704
filter,0.01,high,6,1.0,0.001262554423279119,0.0027323673696283035,107.25084908055635,0.013636437688715577
filter,0.02,low,6,1.0,0.0015098160815181477,0.0032614228151313703,31.500091434951326,0.0031226725618682793
filter,0.02,nominal,6,1.0,0.0013937362856779772,0.0030141326915450357,39.811078579622304,0.0031992163800939367
filter,0.02,high,6,1.0,0.001261775344622461,0.0027325624050196294,59.684407833178625,0.0034366689935200687
filter,0.05,low,6,1.0,0.00150855763356049,0.003259303915273676,14.934736212222353,0.002841708591553034
filter,0.05,nominal,6,1.0,0.0013928357856715287,0.003012911891925681,18.976838112521218,0.002939742534367235
filter,0.05,high,6,1.0,0.001261272483635191,0.0027321305305597616,28.865978143086163,0.003100082994931447
filter,0.1,low,6,1.0,0.0015072118778899938,0.003256590869673051,9.192598083009681,0.002790370897429177
filter,0.1,nominal,6,1.0,0.00139211762234307,0.003011504577123141,11.755150765105894,0.0028323306836082244
filter,0.1,high,6,1.0,0.0012608707236969306,0.0027316938076284987,18.190341778139,0.002916226542443569
