probe,level,gain_probe,episodes,completion_rate,failure_adjusted_error_m,mean_distance_m,steer_total_variation_per_s,wheel_saturation_fraction
noise,0.0,low,6,1.0,0.0015093934269764199,0.003261500613012692,0.10490547522223959,0.0027906351943002908
noise,0.0,nominal,6,1.0,0.0013931881167720025,0.0030140311632787173,0.1301830440626543,0.0027913219019867603
noise,0.0,high,6,1.0,0.001260919850935574,0.0027320147803787283,0.1923086522668793,0.0027921609245214977
noise,0.0001,low,6,1.0,0.0015095706943685256,0.003261577409293378,10.500840391539711,0.002807111221521852
noise,0.0001,nominal,6,1.0,0.0013934061634819465,0.003014226000369689,13.271465616599357,0.0028337680187554026
noise,0.0001,high,6,1.0,0.0012609713705759717,0.002731839294412191,19.897565867358757,0.0029832581362485475
noise,0.0003,low,6,1.0,0.0015098160815181477,0.0032614228151313703,31.500091434951326,0.0031226725618682793
noise,0.0003,nominal,6,1.0,0.0013937362856779772,0.0030141326915450357,39.811078579622304,0.0031992163800939367
noise,0.0003,high,6,1.0,0.001261775344622461,0.0027325624050196294,59.684407833178625,0.0034366689935200687
noise,0.0005,low,6,1.0,0.0015101760067815883,0.0032617533675035637,52.499776362862406,0.0033143636928472005
noise,0.0005,nominal,6,1.0,0.0013941975158323697,0.0030146680817623693,66.35507058460333,0.0035961872627035024
noise,0.0005,high,6,1.0,0.0012630436228295253,0.002733775914591124,99.48979865728523,0.010787345637410864
noise,0.001,low,6,1.0,0.001512258932847732,0.0032637882698609583,105.01615282641616,0.0134923391544882
noise,0.001,nominal,6,1.0,0.001399067558659904,0.0030191012471098705,132.70953405139036,0.04000738472044618
noise,0.001,high,6,1.0,0.0012827912870619683,0.002745471162263874,198.50506876762904,0.1729676546307143
